,,%Previsao,vtmp:925,vtmp:850,vtmp:500,temp:850,temp:500,temp:250,psnm:000,umes:925,umes:850,umes:500,agpl:925,zgeo:850,zgeo:500,zgeo:250,uvel:850,uvel:500,uvel:250,vvel:850,vvel:500,vvel:250
RMSEDTC_20230216002023030300T.scan,5,120,3.501,3.748,3.493,3.642,3.458,3.572,7.334,0.002,0.002,0.002,6.985,57.095,62.009,109.728,6.669,6.146,12.162,6.682,6.61,13.587
RMSEDTC_20230216002023030300T.scan,6,144,3.776,4.101,4.066,3.976,4.018,3.935,8.319,0.002,0.002,0.002,7.541,65.722,73.923,132.174,7.236,6.894,13.597,7.383,7.513,15.477
RMSEDTC_20230216002023030300T.scan,7,168,4.118,4.494,4.501,4.356,4.446,4.184,9.243,0.002,0.002,0.002,7.982,73.298,83.524,149.105,7.696,7.53,14.631,7.824,8.157,16.774
RMSEDTC_20230216002023030300T.scan,8,192,4.315,4.719,4.836,4.567,4.773,4.331,10.114,0.002,0.002,0.002,8.362,80.626,92.892,165.133,8.273,8.204,15.863,8.367,8.661,17.658
RMSEDTC_20230216002023030300T.scan,9,216,4.469,4.89,5.178,4.723,5.109,4.555,11.014,0.002,0.002,0.002,8.813,87.926,101.367,181.246,8.825,8.776,17.029,8.853,9.217,18.671
RMSEDTC_20230216002023030300T.scan,10,240,4.64,5.055,5.392,4.881,5.32,4.637,11.681,0.002,0.002,0.002,9.097,93.401,107.566,192.556,9.126,9.113,17.591,9.112,9.528,19.425
RMSEDTC_20230216002023030300T.scan,11,264,4.809,5.235,5.558,5.061,5.482,4.745,12.047,0.002,0.002,0.002,9.229,95.98,111.231,197.711,9.224,9.332,17.904,9.261,9.644,19.177
RMSEBAMH_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMSEBAMH_20230216002023030300T.scan,1,24,2.068,2.17,1.524,2.171,1.523,1.543,3.342,0.001,0.001,0.001,2.532,24.349,22.329,30.873,3.359,2.777,4.791,3.27,2.778,5.05
RMSEBAMH_20230216002023030300T.scan,2,48,2.732,2.899,2.13,2.883,2.121,2.195,4.601,0.001,0.001,0.001,4.287,34.034,31.853,47.621,4.629,3.83,6.773,4.462,3.899,7.228
RMSEBAMH_20230216002023030300T.scan,3,72,3.111,3.338,2.631,3.303,2.612,2.711,5.572,0.001,0.001,0.001,5.415,42.074,40.872,66.9,5.634,4.749,8.578,5.358,4.871,9.33
RMSEBAMH_20230216002023030300T.scan,4,96,3.501,3.762,3.162,3.707,3.134,3.167,6.731,0.001,0.002,0.002,6.329,51.279,51.86,86.796,6.474,5.648,10.466,6.28,5.819,11.456
RMSEBAMH_20230216002023030300T.scan,5,120,3.787,4.084,3.667,4.005,3.626,3.548,7.688,0.002,0.002,0.002,7.022,59.467,63.577,107.113,6.996,6.469,12.194,7.037,6.845,13.582
RMSEBAMH_20230216002023030300T.scan,6,144,4.028,4.367,4.106,4.27,4.055,3.828,8.462,0.002,0.002,0.002,7.522,66.487,73.417,124.857,7.564,7.245,13.535,7.569,7.602,15.314
RMSEBAMH_20230216002023030300T.scan,7,168,4.328,4.72,4.473,4.608,4.418,4.068,9.389,0.002,0.002,0.002,7.983,74.391,84.129,139.122,8.017,7.867,14.46,8.096,8.387,16.34
RMSEBAMH_20230216002023030300T.scan,8,192,4.563,4.984,4.821,4.854,4.761,4.213,10.395,0.002,0.002,0.002,8.445,82.773,94.18,153.636,8.583,8.558,15.617,8.675,8.981,17.338
RMSEBAMH_20230216002023030300T.scan,9,216,4.728,5.175,5.194,5.029,5.123,4.326,11.214,0.002,0.002,0.002,8.828,89.469,102.974,170.611,9.065,9.152,16.861,9.005,9.361,18.177
RMSEBAMH_20230216002023030300T.scan,10,240,4.867,5.328,5.552,5.176,5.475,4.37,11.747,0.002,0.002,0.002,9.087,93.655,108.384,182.192,9.283,9.434,17.491,9.095,9.477,18.663
RMSEBAMH_20230216002023030300T.scan,11,264,5.022,5.475,5.725,5.32,5.649,4.471,12.277,0.002,0.002,0.002,9.121,98.109,114.173,188.172,9.429,9.699,17.835,9.208,9.69,18.914
VIESX666_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIESX666_20230216002023030300T.scan,1,24,-0.626,-0.964,-0.074,-0.976,-0.078,0.09,0.68,0.0,0.0,0.0,0.183,2.059,-3.831,-2.094,-0.145,-0.069,-0.154,0.179,-0.017,-0.064
VIESX666_20230216002023030300T.scan,2,48,-0.784,-1.246,-0.122,-1.262,-0.129,0.038,0.79,0.0,0.0,0.0,0.336,2.048,-6.703,-4.71,-0.173,-0.12,-0.269,0.183,-0.015,-0.006
