,,%Previsao,vtmp:925,vtmp:850,vtmp:500,temp:850,temp:500,temp:250,psnm:000,umes:925,umes:850,umes:500,agpl:925,zgeo:850,zgeo:500,zgeo:250,uvel:850,uvel:500,uvel:250,vvel:850,vvel:500,vvel:250
RMSEDTC_20230216002023030300T.scan,7,168,4.477,4.6,4.133,4.505,4.099,3.69,9.075,0.002,0.002,0.002,6.737,69.388,74.643,125.744,7.402,7.164,13.134,7.469,7.362,14.17
RMSEDTC_20230216002023030300T.scan,8,192,4.69,4.836,4.466,4.73,4.426,3.878,9.977,0.002,0.002,0.002,7.134,76.885,84.046,142.375,7.887,7.776,14.457,7.881,7.811,15.027
RMSEDTC_20230216002023030300T.scan,9,216,4.819,4.97,4.727,4.857,4.683,4.091,10.682,0.002,0.002,0.002,7.499,82.83,91.582,155.829,8.341,8.305,15.388,8.2,8.249,15.928
RMSEDTC_20230216002023030300T.scan,10,240,4.893,5.039,4.885,4.923,4.838,4.229,11.188,0.002,0.002,0.002,7.721,87.064,96.483,164.513,8.575,8.61,16.157,8.408,8.562,16.596
RMSEDTC_20230216002023030300T.scan,11,264,5.003,5.153,5.016,5.037,4.967,4.336,11.307,0.002,0.002,0.002,7.866,88.009,98.321,167.869,8.619,8.732,16.505,8.492,8.574,16.65
RMSEBAMH_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMSEBAMH_20230216002023030300T.scan,1,24,2.343,2.25,1.37,2.248,1.377,1.399,3.339,0.001,0.001,0.001,2.514,24.6,23.416,30.054,3.643,2.909,4.648,3.494,2.829,4.784
RMSEBAMH_20230216002023030300T.scan,2,48,3.09,3.027,1.97,3.012,1.973,1.971,4.627,0.001,0.001,0.001,3.927,33.539,31.224,43.198,4.795,3.908,6.42,4.573,3.844,6.666
RMSEBAMH_20230216002023030300T.scan,3,72,3.572,3.549,2.499,3.519,2.496,2.466,5.74,0.001,0.001,0.001,4.854,41.997,40.079,59.868,5.672,4.818,8.108,5.415,4.739,8.437
RMSEBAMH_20230216002023030300T.scan,4,96,3.942,3.94,2.973,3.895,2.963,2.872,6.705,0.001,0.002,0.002,5.553,49.597,48.924,74.99,6.359,5.621,9.663,6.176,5.535,10.112
RMSEBAMH_20230216002023030300T.scan,5,120,4.217,4.249,3.395,4.19,3.376,3.199,7.52,0.002,0.002,0.002,6.111,56.281,57.646,91.127,6.881,6.36,11.086,6.743,6.286,11.75
RMSEBAMH_20230216002023030300T.scan,6,144,4.478,4.56,3.835,4.486,3.807,3.493,8.376,0.002,0.002,0.002,6.569,63.347,66.511,107.629,7.36,6.959,12.274,7.301,7.074,13.236
