,,%Previsao,vtmp:925,vtmp:850,vtmp:500,temp:850,temp:500,temp:250,psnm:000,umes:925,umes:850,umes:500,agpl:925,zgeo:850,zgeo:500,zgeo:250,uvel:850,uvel:500,uvel:250,vvel:850,vvel:500,vvel:250
RMSEDTC_20230216002023030300T.scan,1,24,0.598,0.604,0.505,0.65,0.538,0.704,1.937,0.001,0.001,0.001,1.617,16.94,16.953,20.868,2.493,1.462,3.135,2.295,1.284,3.151
RMSEDTC_20230216002023030300T.scan,2,48,0.878,0.911,0.739,0.989,0.802,0.88,2.101,0.001,0.001,0.001,3.079,18.189,17.835,22.454,3.736,2.248,4.692,3.404,1.894,4.454
RMSEDTC_20230216002023030300T.scan,3,72,1.043,1.084,0.914,1.176,0.998,0.992,2.244,0.001,0.001,0.001,4.227,19.386,19.147,24.72,4.351,2.845,5.795,3.982,2.35,5.411
RMSEDTC_20230216002023030300T.scan,4,96,1.152,1.192,1.026,1.289,1.125,1.081,2.404,0.001,0.002,0.002,5.035,20.796,20.761,27.008,4.696,3.309,6.525,4.351,2.698,6.22
RMSEDTC_20230216002023030300T.scan,5,120,1.266,1.31,1.117,1.406,1.225,1.143,2.426,0.001,0.002,0.002,5.656,20.899,20.857,28.469,5.05,3.648,7.128,4.601,2.987,6.767
RMSEDTC_20230216002023030300T.scan,6,144,1.366,1.433,1.213,1.534,1.327,1.18,2.43,0.001,0.002,0.002,6.159,20.794,20.56,29.675,5.337,3.932,7.715,4.762,3.28,7.001
RMSEDTC_20230216002023030300T.scan,7,168,1.45,1.518,1.274,1.616,1.391,1.229,2.457,0.002,0.002,0.002,6.603,20.921,20.65,30.415,5.579,4.233,8.152,4.926,3.484,7.107
RMSEDTC_20230216002023030300T.scan,8,192,1.521,1.589,1.312,1.682,1.431,1.315,2.473,0.002,0.002,0.002,7.055,21.023,20.914,32.422,5.772,4.529,8.571,5.115,3.616,7.401
RMSEDTC_20230216002023030300T.scan,9,216,1.569,1.637,1.337,1.728,1.463,1.406,2.558,0.002,0.002,0.002,7.513,21.733,21.553,34.01,5.991,4.814,9.159,5.195,3.711,7.862
RMSEDTC_20230216002023030300T.scan,10,240,1.622,1.7,1.378,1.793,1.503,1.516,2.692,0.002,0.002,0.002,7.812,22.792,22.233,35.582,6.058,5.032,9.929,5.242,3.924,8.4
RMSEDTC_20230216002023030300T.scan,11,264,1.727,1.803,1.421,1.894,1.542,1.575,2.805,0.002,0.002,0.002,8.058,23.692,23.014,37.48,6.109,5.27,10.7,5.347,3.942,8.773
RMSEBAMH_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMSEBAMH_20230216002023030300T.scan,1,24,0.879,0.89,0.741,0.954,0.794,0.872,2.14,0.001,0.001,0.001,3.28,18.852,19.622,26.049,3.767,2.194,4.221,3.387,1.96,4.338
RMSEBAMH_20230216002023030300T.scan,2,48,1.101,1.137,0.979,1.225,1.068,1.04,2.284,0.001,0.001,0.002,4.716,19.931,20.387,27.649,4.68,2.988,5.595,4.233,2.571,5.619
RMSEBAMH_20230216002023030300T.scan,3,72,1.249,1.292,1.117,1.386,1.223,1.106,2.436,0.001,0.002,0.002,5.595,21.18,21.711,29.477,5.047,3.503,6.484,4.588,2.984,6.378
