,,%Previsao,vtmp:925,vtmp:850,vtmp:500,temp:850,temp:500,temp:250,psnm:000,umes:925,umes:850,umes:500,agpl:925,zgeo:850,zgeo:500,zgeo:250,uvel:850,uvel:500,uvel:250,vvel:850,vvel:500,vvel:250
RMSEX666_20230216002023030300T.scan,9,216,3.355,3.454,2.468,3.451,2.461,1.894,5.115,0.002,0.003,0.001,8.83,40.458,52.785,79.459,5.099,7.208,11.998,4.89,6.686,12.433
RMSEX666_20230216002023030300T.scan,10,240,3.631,3.745,2.732,3.714,2.718,1.972,5.68,0.002,0.003,0.001,8.892,44.03,56.652,86.866,5.23,7.724,13.209,5.453,7.197,13.088
RMSEX666_20230216002023030300T.scan,11,264,3.842,4.08,2.922,4.027,2.906,2.107,5.339,0.003,0.003,0.001,9.324,41.306,60.405,91.81,5.353,8.269,14.427,5.471,7.362,13.579
RMSEDTC_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMSEDTC_20230216002023030300T.scan,1,24,1.444,1.535,0.911,1.564,0.927,0.966,3.518,0.001,0.001,0.001,2.124,30.412,31.048,36.69,2.406,2.284,3.969,2.457,2.096,4.152
RMSEDTC_20230216002023030300T.scan,2,48,1.927,2.052,1.349,2.099,1.368,1.236,3.854,0.001,0.001,0.001,4.211,32.795,33.027,40.336,3.488,3.088,5.717,3.513,2.965,6.067
RMSEDTC_20230216002023030300T.scan,3,72,2.119,2.244,1.575,2.321,1.6,1.443,4.34,0.002,0.002,0.001,5.349,36.503,36.026,47.315,4.133,3.779,6.773,3.826,3.331,7.664
RMSEDTC_20230216002023030300T.scan,4,96,2.397,2.581,1.912,2.637,1.937,1.595,4.932,0.002,0.002,0.002,6.361,41.126,40.311,59.196,4.245,4.222,8.138,4.387,3.867,9.418
RMSEDTC_20230216002023030300T.scan,5,120,2.597,2.775,2.14,2.81,2.152,1.756,5.402,0.002,0.002,0.002,7.222,44.919,44.692,71.101,4.715,4.66,9.791,4.65,4.234,11.185
RMSEDTC_20230216002023030300T.scan,6,144,2.922,3.121,2.381,3.132,2.373,1.978,5.59,0.002,0.002,0.002,7.794,46.271,47.293,79.269,4.882,4.959,10.645,5.182,4.711,12.53
RMSEDTC_20230216002023030300T.scan,7,168,3.093,3.309,2.503,3.316,2.472,2.076,5.763,0.002,0.002,0.002,8.256,47.132,47.166,83.809,5.106,5.026,11.192,5.425,4.904,13.038
RMSEDTC_20230216002023030300T.scan,8,192,3.152,3.414,2.667,3.407,2.632,2.07,5.866,0.002,0.002,0.002,8.468,47.963,48.594,89.238,5.366,5.286,12.124,5.687,5.253,13.92
RMSEDTC_20230216002023030300T.scan,9,216,3.269,3.588,2.962,3.561,2.926,2.156,6.2,0.002,0.002,0.002,8.918,51.109,54.994,102.071,5.343,5.61,12.939,6.005,5.417,13.512
RMSEDTC_20230216002023030300T.scan,10,240,3.392,3.675,3.156,3.623,3.109,2.199,6.261,0.003,0.003,0.002,9.356,51.853,57.045,106.703,5.294,5.871,13.855,6.042,5.572,14.362
RMSEDTC_20230216002023030300T.scan,11,264,3.64,3.949,3.344,3.901,3.294,2.241,6.247,0.002,0.003,0.002,9.289,51.378,57.126,105.211,5.405,5.896,14.031,6.112,5.717,13.729
RMSEBAMH_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMSEBAMH_20230216002023030300T.scan,1,24,1.74,1.832,1.179,1.895,1.199,1.121,3.719,0.001,0.001,0.001,3.619,32.122,33.341,40.537,3.181,2.914,5.141,3.126,2.789,5.662
RMSEBAMH_20230216002023030300T.scan,2,48,2.204,2.344,1.467,2.424,1.497,1.376,4.045,0.002,0.002,0.002,5.433,34.378,35.404,44.148,3.918,3.694,6.742,4.05,3.57,7.068
RMSEBAMH_20230216002023030300T.scan,3,72,2.392,2.552,1.706,2.654,1.733,1.549,4.477,0.002,0.002,0.002,6.161,37.552,38.047,52.799,4.515,4.266,7.768,4.367,3.933,8.537
RMSEBAMH_20230216002023030300T.scan,4,96,2.622,2.843,2.133,2.92,2.145,1.666,5.0,0.002,0.002,0.002,7.027,41.631,41.275,62.943,4.564,4.461,8.874,4.739,4.297,9.878
RMSEBAMH_20230216002023030300T.scan,5,120,2.808,3.016,2.321,3.073,2.33,1.763,5.509,0.002,0.002,0.002,7.769,45.476,44.451,69.891,4.837,4.803,9.886,4.993,4.5,11.534
RMSEBAMH_20230216002023030300T.scan,6,144,2.991,3.225,2.415,3.279,2.411,1.878,5.599,0.002,0.002,0.002,8.206,46.112,46.141,73.212,5.076,5.109,10.639,5.273,4.706,11.944
RMSEBAMH_20230216002023030300T.scan,7,168,3.183,3.432,2.529,3.479,2.528,1.973,5.916,0.002,0.002,0.002,8.558,48.434,48.207,79.18,5.271,5.291,11.32,5.575,5.211,12.986
RMSEBAMH_20230216002023030300T.scan,8,192,3.473,3.752,2.841,3.764,2.819,2.029,6.693,0.002,0.002,0.002,8.962,54.24,54.316,88.158,5.769,5.781,12.239,6.419,5.826,13.76
RMSEBAMH_20230216002023030300T.scan,9,216,3.423,3.768,3.084,3.775,3.064,2.063,6.99,0.002,0.002,0.002,9.159,57.557,61.651,101.54,5.627,6.039,13.222,6.274,5.91,14.175
RMSEBAMH_20230216002023030300T.scan,10,240,3.57,3.955,3.359,3.934,3.31,2.121,6.769,0.003,0.003,0.002,9.835,56.502,63.504,112.364,5.634,6.296,14.229,6.002,5.752,14.865
RMSEBAMH_20230216002023030300T.scan,11,264,3.697,4.024,3.363,3.998,3.317,2.244,6.294,0.003,0.003,0.002,9.881,52.402,60.507,109.338,5.823,6.385,14.587,5.944,5.697,14.667
VIESX666_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIESX666_20230216002023030300T.scan,1,24,-0.01,-0.434,-0.365,-0.413,-0.369,0.184,-0.105,0.0,-0.0,0.0,-0.233,-0.813,-6.56,-9.856,-0.126,0.021,0.049,0.024,0.116,0.234
VIESX666_20230216002023030300T.scan,2,48,-0.069,-0.555,-0.489,-0.517,-0.496,0.179,0.793,-0.0,-0.0,0.0,-0.169,6.723,-1.854,-5.547,-0.43,-0.135,0.358,0.142,-0.068,0.237
VIESX666_20230216002023030300T.scan,3,72,-0.121,-0.599,-0.47,-0.554,-0.48,0.136,1.403,-0.0,-0.0,0.0,-0.008,11.815,2.758,-0.643,-0.828,-0.431,0.675,0.022,-0.366,0.072
VIESX666_20230216002023030300T.scan,4,96,-0.131,-0.577,-0.494,-0.527,-0.509,0.03,1.936,-0.0,-0.0,0.0,0.281,16.419,6.975,2.681,-1.09,-0.91,0.713,-0.212,-0.563,-0.355
VIESX666_20230216002023030300T.scan,5,120,-0.072,-0.486,-0.563,-0.426,-0.578,-0.068,2.156,-0.0,-0.0,0.0,0.339,18.626,8.438,2.253,-1.331,-1.2,1.133,-0.227,-0.493,-0.37
VIESX666_20230216002023030300T.scan,6,144,-0.064,-0.449,-0.717,-0.388,-0.731,-0.172,1.937,-0.0,-0.0,0.0,0.313,16.77,5.329,-3.487,-1.125,-1.254,1.724,-0.25,-0.312,-0.256
VIESX666_20230216002023030300T.scan,7,168,-0.083,-0.449,-0.638,-0.387,-0.651,-0.209,1.471,-0.0,-0.0,0.0,0.169,12.669,2.031,-5.465,-0.934,-1.354,1.806,-0.382,-0.251,-0.135
VIESX666_20230216002023030300T.scan,8,192,-0.017,-0.421,-0.722,-0.365,-0.732,-0.208,1.257,-0.0,-0.0,0.0,0.094,10.979,-0.143,-9.168,-0.949,-1.82,1.491,-0.213,-0.269,-0.564
