,,%Previsao,vtmp:925,vtmp:850,vtmp:500,temp:850,temp:500,temp:250,pslc:000,umes:925,umes:850,umes:500,zgeo:850,zgeo:500,zgeo:250,uvel:850,uvel:500,uvel:250,vvel:850,vvel:500,vvel:250
VIESBAMH_20230216002023030300T.scan,6,144,-0.479,-0.601,-0.407,-0.605,-0.434,-0.311,2.448,0.0,0.0,0.0,18.74,10.937,2.482,-0.962,-0.956,0.517,-0.159,0.143,0.006
VIESBAMH_20230216002023030300T.scan,7,168,-0.661,-0.764,-0.469,-0.753,-0.491,-0.267,2.17,0.0,-0.0,0.0,15.657,6.527,-2.213,-0.76,-0.982,0.527,-0.216,0.377,0.119
VIESBAMH_20230216002023030300T.scan,8,192,-0.842,-0.987,-0.511,-0.973,-0.53,-0.244,1.773,0.0,-0.0,0.0,11.139,0.51,-8.503,-0.753,-1.026,0.668,-0.076,0.502,0.382
VIESBAMH_20230216002023030300T.scan,9,216,-0.961,-1.129,-0.559,-1.116,-0.575,-0.264,2.021,0.0,-0.0,0.0,12.746,0.709,-8.423,-0.74,-1.021,0.882,-0.316,0.458,0.681
VIESBAMH_20230216002023030300T.scan,10,240,-0.833,-1.023,-0.519,-1.029,-0.536,-0.244,1.985,0.0,0.0,0.0,13.145,1.851,-7.143,-0.532,-0.887,1.066,-0.433,0.354,0.679
VIESBAMH_20230216002023030300T.scan,11,264,-0.84,-1.051,-0.547,-1.067,-0.561,-0.179,1.418,0.0,0.0,0.0,8.27,-3.724,-12.948,-0.307,-0.553,1.78,-0.414,0.233,0.629
RMSEBAMH_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMSEBAMH_20230216002023030300T.scan,1,24,1.811,1.694,1.073,1.71,1.084,1.115,3.25,0.001,0.001,0.001,31.923,35.544,40.379,3.08,3.245,5.133,2.759,3.108,5.653
RMSEBAMH_20230216002023030300T.scan,2,48,2.312,2.247,1.359,2.272,1.373,1.369,3.666,0.002,0.002,0.001,33.947,37.332,43.905,3.742,3.994,6.732,3.596,3.808,7.048
RMSEBAMH_20230216002023030300T.scan,3,72,2.513,2.473,1.636,2.508,1.649,1.542,4.148,0.002,0.002,0.001,36.655,42.051,52.374,4.361,4.78,7.741,3.982,4.624,8.511
RMSEBAMH_20230216002023030300T.scan,4,96,2.789,2.768,1.97,2.78,1.973,1.655,4.724,0.002,0.002,0.001,40.388,47.408,62.356,4.42,5.423,8.841,4.338,5.301,9.83
RMSEBAMH_20230216002023030300T.scan,5,120,2.965,2.926,2.146,2.92,2.142,1.747,5.247,0.002,0.002,0.001,43.791,51.622,69.211,4.682,5.979,9.855,4.549,5.935,11.477
RMSEBAMH_20230216002023030300T.scan,6,144,3.166,3.178,2.2,3.154,2.196,1.863,5.339,0.002,0.002,0.001,44.44,53.609,72.478,4.912,6.292,10.604,4.754,6.028,11.887
RMSEBAMH_20230216002023030300T.scan,7,168,3.374,3.357,2.329,3.329,2.326,1.953,5.65,0.002,0.002,0.001,46.454,56.844,78.204,5.229,6.823,11.284,5.105,6.795,12.921
RMSEBAMH_20230216002023030300T.scan,8,192,3.686,3.738,2.54,3.689,2.532,2.007,6.432,0.002,0.002,0.001,51.726,64.598,86.823,5.737,7.208,12.204,5.856,7.563,13.647
RMSEBAMH_20230216002023030300T.scan,9,216,3.672,3.881,2.776,3.83,2.76,2.038,6.738,0.002,0.002,0.001,55.927,74.998,99.832,5.589,7.718,13.184,5.731,7.851,14.087
RMSEBAMH_20230216002023030300T.scan,10,240,3.854,4.124,3.017,4.039,2.993,2.1,6.534,0.003,0.003,0.001,55.597,79.307,110.716,5.715,8.052,14.192,5.47,7.622,14.771
RMSEBAMH_20230216002023030300T.scan,11,264,3.937,4.133,3.01,4.051,2.989,2.221,6.039,0.003,0.003,0.001,51.603,76.447,107.873,5.966,8.271,14.532,5.37,7.596,14.583
ACORBAMH_20230216002023030300T.scan,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ACORBAMH_20230216002023030300T.scan,1,24,0.964,0.962,0.98,0.955,0.979,0.957,0.999,0.958,0.964,0.909,0.811,0.95,0.981,0.916,0.956,0.947,0.852,0.864,0.89
ACORBAMH_20230216002023030300T.scan,2,48,0.946,0.941,0.968,0.929,0.965,0.94,0.999,0.911,0.915,0.816,0.789,0.944,0.977,0.883,0.938,0.911,0.736,0.775,0.815
ACORBAMH_20230216002023030300T.scan,3,72,0.936,0.93,0.955,0.915,0.952,0.924,0.999,0.884,0.888,0.764,0.771,0.934,0.969,0.85,0.915,0.878,0.665,0.639,0.714
ACORBAMH_20230216002023030300T.scan,4,96,0.919,0.908,0.93,0.892,0.927,0.907,0.998,0.861,0.858,0.727,0.747,0.92,0.956,0.847,0.896,0.845,0.562,0.483,0.587
ACORBAMH_20230216002023030300T.scan,5,120,0.907,0.895,0.911,0.879,0.908,0.897,0.998,0.835,0.828,0.699,0.718,0.911,0.946,0.831,0.876,0.806,0.511,0.36,0.398
ACORBAMH_20230216002023030300T.scan,6,144,0.893,0.871,0.908,0.853,0.904,0.885,0.998,0.814,0.808,0.672,0.704,0.902,0.942,0.808,0.867,0.778,0.459,0.361,0.326
ACORBAMH_20230216002023030300T.scan,7,168,0.881,0.86,0.892,0.841,0.887,0.877,0.997,0.809,0.799,0.65,0.658,0.884,0.928,0.769,0.843,0.743,0.405,0.22,0.206
ACORBAMH_20230216002023030300T.scan,8,192,0.863,0.835,0.87,0.815,0.865,0.878,0.996,0.796,0.791,0.611,0.565,0.861,0.912,0.735,0.837,0.709,0.281,0.082,0.13
ACORBAMH_20230216002023030300T.scan,9,216,0.87,0.835,0.851,0.815,0.847,0.875,0.996,0.787,0.79,0.607,0.515,0.839,0.896,0.749,0.827,0.694,0.3,0.032,0.078
ACORBAMH_20230216002023030300T.scan,10,240,0.848,0.799,0.817,0.779,0.812,0.857,0.997,0.761,0.752,0.584,0.542,0.822,0.871,0.743,0.811,0.641,0.345,0.075,0.007
ACORBAMH_20230216002023030300T.scan,11,264,0.838,0.786,0.812,0.766,0.806,0.845,0.997,0.753,0.733,0.577,0.575,0.823,0.87,0.712,0.794,0.629,0.31,0.008,0.018
VIESBAMH0_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
